detector_name;descriptor_name;ttcLidar;ttcCamera
SHITOMASI;BRIEF;12.2891;13.7746
SHITOMASI;BRIEF;13.3547;13.308
SHITOMASI;BRIEF;16.3845;11.3769
SHITOMASI;BRIEF;14.0764;13.0851
SHITOMASI;BRIEF;12.7299;12.3342
SHITOMASI;BRIEF;13.7511;13.0781
SHITOMASI;BRIEF;13.7314;14.6347
SHITOMASI;BRIEF;13.7901;11.7556
SHITOMASI;BRIEF;12.059;11.4926
SHITOMASI;BRIEF;11.8642;12.27
SHITOMASI;BRIEF;11.9682;11.7611
SHITOMASI;BRIEF;9.88711;11.3997
SHITOMASI;BRIEF;9.42504;12.2277
SHITOMASI;BRIEF;9.30215;11.0014
SHITOMASI;BRIEF;8.3212;11.1203
SHITOMASI;BRIEF;8.89867;12.1848
SHITOMASI;BRIEF;11.0301;10.571
SHITOMASI;BRIEF;8.53557;9.47889

detector_name;descriptor_name;ttcLidar;ttcCamera
SHITOMASI;ORB;12.2891;13.603
SHITOMASI;ORB;13.3547;13.2121
SHITOMASI;ORB;16.3845;12.884
SHITOMASI;ORB;14.0764;12.1046
SHITOMASI;ORB;12.7299;11.7035
SHITOMASI;ORB;13.7511;13.5266
SHITOMASI;ORB;13.7314;13.2491
SHITOMASI;ORB;13.7901;12.0155
SHITOMASI;ORB;12.059;11.3526
SHITOMASI;ORB;11.8642;14.1452
SHITOMASI;ORB;11.9682;11.4238
SHITOMASI;ORB;9.88711;11.9654
SHITOMASI;ORB;9.42504;12.305
SHITOMASI;ORB;9.30215;11.4823
SHITOMASI;ORB;8.3212;10.3981
SHITOMASI;ORB;8.89867;11.7356
SHITOMASI;ORB;11.0301;12.1119
SHITOMASI;ORB;8.53557;9.11578

detector_name;descriptor_name;ttcLidar;ttcCamera
SHITOMASI;FREAK;12.2891;13.7616
SHITOMASI;FREAK;13.3547;11.8519
SHITOMASI;FREAK;16.3845;11.4126
SHITOMASI;FREAK;14.0764;13.3479
SHITOMASI;FREAK;12.7299;11.6402
SHITOMASI;FREAK;13.7511;14.2385
SHITOMASI;FREAK;13.7314;12.6612
SHITOMASI;FREAK;13.7901;12.1048
SHITOMASI;FREAK;12.059;11.8703
SHITOMASI;FREAK;11.8642;12.1142
SHITOMASI;FREAK;11.9682;11.9599
SHITOMASI;FREAK;9.88711;11.5628
SHITOMASI;FREAK;9.42504;13.3476
SHITOMASI;FREAK;9.30215;12.2526
SHITOMASI;FREAK;8.3212;10.278
SHITOMASI;FREAK;8.89867;9.3482
SHITOMASI;FREAK;11.0301;11.5895
SHITOMASI;FREAK;8.53557;7.15778

detector_name;descriptor_name;ttcLidar;ttcCamera
FAST;BRISK;12.2891;12.5951
FAST;BRISK;13.3547;12.8061
FAST;BRISK;16.3845;15.9577
FAST;BRISK;14.0764;12.8743
FAST;BRISK;12.7299;19.0241
FAST;BRISK;13.7511;12.3765
FAST;BRISK;13.7314;12.1337
FAST;BRISK;13.7901;11.7417
FAST;BRISK;12.059;12.7138
FAST;BRISK;11.8642;12.1169
FAST;BRISK;11.9682;12.313
FAST;BRISK;9.88711;11.7126
FAST;BRISK;9.42504;12.5109
FAST;BRISK;9.30215;11.6271
FAST;BRISK;8.3212;11.7805
FAST;BRISK;8.89867;12.1996
FAST;BRISK;11.0301;7.16224
FAST;BRISK;8.53557;12.6406

detector_name;descriptor_name;ttcLidar;ttcCamera
FAST;BRIEF;12.2891;9.03833
FAST;BRIEF;13.3547;12.4967
FAST;BRIEF;16.3845;13.1526
FAST;BRIEF;14.0764;12.9991
FAST;BRIEF;12.7299;30.2967
FAST;BRIEF;13.7511;12.1823
FAST;BRIEF;13.7314;10.9093
FAST;BRIEF;13.7901;11.8219
FAST;BRIEF;12.059;13.1962
FAST;BRIEF;11.8642;12.966
FAST;BRIEF;11.9682;14.2702
FAST;BRIEF;9.88711;11.5615
FAST;BRIEF;9.42504;12.273
FAST;BRIEF;9.30215;11.1134
FAST;BRIEF;8.3212;11.7034
FAST;BRIEF;8.89867;11.8423
FAST;BRIEF;11.0301;10.5155
FAST;BRIEF;8.53557;10.9396

detector_name;descriptor_name;ttcLidar;ttcCamera
FAST;ORB;12.2891;11.6549
FAST;ORB;13.3547;12.3453
FAST;ORB;16.3845;13.8862
FAST;ORB;14.0764;12.3607
FAST;ORB;12.7299;16.9679
FAST;ORB;13.7511;12.5964
FAST;ORB;13.7314;11.5131
FAST;ORB;13.7901;11.1934
FAST;ORB;12.059;12.8545
FAST;ORB;11.8642;12.3032
FAST;ORB;11.9682;13.0011
FAST;ORB;9.88711;12.5637
FAST;ORB;9.42504;12.521
FAST;ORB;9.30215;11.8781
FAST;ORB;8.3212;11.5554
FAST;ORB;8.89867;11.8668
FAST;ORB;11.0301;9.27233
FAST;ORB;8.53557;12.0558

detector_name;descriptor_name;ttcLidar;ttcCamera
FAST;FREAK;12.2891;12.0086
FAST;FREAK;13.3547;12.479
FAST;FREAK;16.3845;16.9876
FAST;FREAK;14.0764;13.6805
FAST;FREAK;12.7299;14.5341
FAST;FREAK;13.7511;12.0086
FAST;FREAK;13.7314;12.1961
FAST;FREAK;13.7901;12.0531
FAST;FREAK;12.059;12.0008
FAST;FREAK;11.8642;12.4915
FAST;FREAK;11.9682;13.0068
FAST;FREAK;9.88711;12.192
FAST;FREAK;9.42504;12.466
FAST;FREAK;9.30215;11.1365
FAST;FREAK;8.3212;10.4
FAST;FREAK;8.89867;12.2027
FAST;FREAK;11.0301;7.77226
FAST;FREAK;8.53557;11.0883

detector_name;descriptor_name;ttcLidar;ttcCamera
BRISK;BRISK;12.2891;12.8659
BRISK;BRISK;13.3547;16.5957
BRISK;BRISK;16.3845;12.7803
BRISK;BRISK;14.0764;14.8405
BRISK;BRISK;12.7299;28.6365
BRISK;BRISK;13.7511;17.8323
BRISK;BRISK;13.7314;15.5593
BRISK;BRISK;13.7901;15.9199
BRISK;BRISK;12.059;13.9678
BRISK;BRISK;11.8642;10.6552
BRISK;BRISK;11.9682;12.1394
BRISK;BRISK;9.88711;11.1097
BRISK;BRISK;9.42504;11.5717
BRISK;BRISK;9.30215;12.4212
BRISK;BRISK;8.3212;12.4717
BRISK;BRISK;8.89867;10.9329
BRISK;BRISK;11.0301;10.3503
BRISK;BRISK;8.53557;12.3517


detector_name;descriptor_name;ttcLidar;ttcCamera
